"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"3",1641,"81560","ABERDEEN 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"6",1642,"81561","ABERDEEN 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"9",1643,"81562","ABERDEEN 3N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"10",1644,"81563","ABERDEEN 4N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"11",1832,"83589","ABERDEEN 5N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"17",2250,"abd1","Aberdeen Anderson Dr","pm10",2005-01-01,NA,"urban_background",57.128567,-2.125447,"measurement","scotarc"
"19",2247,"abd1","Aberdeen Anderson Dr","no2",2005-01-01,NA,"urban_background",57.128567,-2.125447,"measurement","scotarc"
"21",2618,"abd","Aberdeen Errol Place","pm25",2009-02-20,NA,"urban_background",57.15736,-2.094278,"measurement","scotarc"
"22",2003,"abd","Aberdeen Errol Place","no2",1999-09-18,NA,"urban_background",57.15736,-2.094278,"measurement","scotarc"
"27",2004,"abd","Aberdeen Errol Place","o3",2003-08-01,NA,"urban_background",57.15736,-2.094278,"measurement","scotarc"
"28",2008,"abd","Aberdeen Errol Place","pm10",1999-09-18,2009-02-19,"urban_background",57.15736,-2.094278,"measurement","scotarc"
"29",2001,"abd","Aberdeen Errol Place","co",1999-09-18,2007-12-31,"urban_background",57.15736,-2.094278,"measurement","scotarc"
"41",2617,"ad1","Aberdeen King Street","pm10",2008-11-25,NA,"roadside",57.169738,-2.095348,"measurement","scotarc"
"43",2614,"ad1","Aberdeen King Street","no2",2008-11-25,NA,"roadside",57.169738,-2.095348,"measurement","scotarc"
"45",2255,"abd2","Aberdeen Market St","pm10",2005-01-01,2009-01-19,"kerbside",57.143889,-2.093889,"measurement","scotarc"
"46",2252,"abd2","Aberdeen Market St","no2",2005-01-01,2009-01-19,"kerbside",57.143889,-2.093889,"measurement","scotarc"
"52",2694,"abd0","Aberdeen Market Street 2","pm10",2009-06-01,NA,"roadside",57.141922,-2.091664,"measurement","scotarc"
"53",2691,"abd0","Aberdeen Market Street 2","no2",2009-06-01,NA,"roadside",57.141922,-2.091664,"measurement","scotarc"
"54",3282,"abd0","Aberdeen Market Street 2","pm25",2015-09-30,NA,NA,57.141922,-2.091664,"measurement","scotarc"
"60",3212,"abd3","Aberdeen Union Street Roadside","pm25",2014-04-11,NA,"urban_background",57.144555,-2.106472,"measurement","scotarc"
"67",2260,"abd3","Aberdeen Union Street Roadside","pm10",2005-01-01,2014-04-10,"urban_background",57.144555,-2.106472,"measurement","scotarc"
"71",2257,"abd3","Aberdeen Union Street Roadside","no2",2005-01-01,NA,"urban_background",57.144555,-2.106472,"measurement","scotarc"
"76",2514,"abd8","Aberdeen Wellington Road","pm10",2008-01-01,NA,"roadside",57.134195,-2.093968,"measurement","scotarc"
"78",2511,"abd8","Aberdeen Wellington Road","no2",2008-01-01,NA,"roadside",57.134195,-2.093968,"measurement","scotarc"
"104",1269,"5140","Achanarras","no2",1993-02-02,1995-01-03,NA,NA,NA,"md_measurement","scotarc"
"114",1671,"81890","AIRDRIE 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"115",1672,"81891","AIRDRIE 2N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"116",1763,"82279","AIRDRIE 3N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"118",2708,"aloa","Alloa","pm10",2006-09-20,2015-01-13,"roadside",56.117258,-3.791896,"measurement","scotarc"
"124",1637,"81556","ALLOA 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"125",1638,"81557","ALLOA 2N","no2",1994-01-04,1994-11-29,NA,NA,NA,"md_measurement","scotarc"
"128",1639,"81558","ALLOA 3N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"131",1640,"81559","ALLOA 4N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"134",1745,"82138","ALLOA 5N","no2",1994-01-04,1994-11-29,NA,NA,NA,"md_measurement","scotarc"
"137",1746,"82139","ALLOA 6N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"138",1778,"82532","ALLOA 7N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"139",1779,"82533","ALLOA 8N","no2",1992-12-29,1994-11-29,NA,NA,NA,"md_measurement","scotarc"
"145",3268,"alo2","Alloa A907","no2",2015-02-25,NA,"roadside",56.117343,-3.791818,"measurement","scotarc"
"171",2386,"acth","Auchencorth Moss","pm25",2006-01-01,NA,"rural",55.79216,-3.2429,"measurement","scotarc"
"172",2316,"acth","Auchencorth Moss","o3",2006-01-01,NA,"rural",55.79216,-3.2429,"measurement","scotarc"
"214",1804,"82719","AYR 1N","no2",1996-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"215",1805,"82720","AYR 2N","no2",1996-01-02,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"216",1806,"82721","AYR 3N","no2",1996-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"217",1807,"82722","AYR 4N","no2",1996-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"218",1839,"83596","AYR 5N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"227",1836,"83593","BALLOCH 1N","no2",2001-01-02,2005-02-01,NA,NA,NA,"md_measurement","scotarc"
"228",1856,"83747","BALLOCH 2N","no2",2005-01-04,NA,"roadside",NA,NA,"md_measurement","scotarc"
"281",1568,"5200","Balquhidder","no2",1993-02-02,1994-04-12,NA,NA,NA,"md_measurement","scotarc"
"294",1423,"5152","Balquhidder 2","no2",1994-07-11,1995-01-03,NA,NA,NA,"md_measurement","scotarc"
"360",1879,"84163","Bargeddie 1N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"361",1688,"81923","BARRHEAD 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"364",1626,"81018","BATHGATE 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
